RefSeq	Symbol	Entrez Gene ID
NM_000014	A2M	2
NM_000015	NAT2	10
NM_000016	ACADM	34
NM_000017	ACADS	35
NM_000018	ACADVL	37
NM_000019	ACAT1	38
NM_000020	ACVRL1	94
NM_000021	PSEN1	5663
NM_000022	ADA	100
NM_000023	SGCA	6442
NM_000024	ADRB2	154
NM_000025	ADRB3	155
NM_000026	ADSL	158
NM_000027	AGA	175
NM_000028	AGL	178
NM_000029	AGT	183
NM_000030	AGXT	189
NM_000031	ALAD	210
NM_000032	ALAS2	212
NM_000033	ABCD1	215
NM_000034	ALDOA	226
NM_000035	ALDOB	229
NM_000036	AMPD1	270
NM_000037	ANK1	286
NM_000038	APC	324
NM_000039	APOA1	335
NM_000040	APOC3	345
NM_000041	APOE	348
NM_000042	APOH	350
NM_000043	FAS	355
NM_000044	AR	367
NM_000045	ARG1	383
NM_000046	ARSB	411
NM_000047	ARSE	415
NM_000048	ASL	435
NM_000049	ASPA	443
NM_000050	ASS1	445
NM_000051	ATM	472
NM_000052	ATP7A	538
NM_000053	ATP7B	540
NM_000054	AVPR2	554
NM_000055	BCHE	590
NM_000056	BCKDHB	594
NM_000057	BLM	641
NM_000059	BRCA2	675
NM_000060	BTD	686
NM_000061	BTK	695
NM_000062	SERPING1	710
NM_000063	C2	717
NM_000064	LOC653879	653879
NM_000065	C6	729
NM_000066	C8B	732
NM_000067	CA2	760
NM_000068	CACNA1A	773
NM_000069	CACNA1S	779
NM_000070	CAPN3	825
NM_000071	CBS	875
NM_000072	CD36	948
NM_000073	CD3G	917
NM_000074	CD40LG	959
NM_000075	CDK4	1019
NM_000076	CDKN1C	1028
NM_000077	CDKN2A	1029
NM_000078	CETP	1071
NM_000079	CHRNA1	1134
NM_000080	CHRNE	1145
NM_000081	LYST	1130
NM_000082	ERCC8	1161
NM_000083	CLCN1	1180
NM_000084	CLCN5	1184
NM_000085	CLCNKA	1187
NM_000086	CLN3	1201
NM_000087	CNGA1	1259
NM_000088	COL1A1	1277
NM_000089	COL1A2	1278
NM_000090	COL3A1	1281
NM_000091	COL4A3	1285
NM_000092	COL4A4	1286
NM_000093	COL5A1	1289
NM_000094	COL7A1	1294
NM_000095	COMP	1311
NM_000096	CP	1356
NM_000097	CPOX	1371
NM_000098	CPT2	1376
NM_000099	CST3	1471
NM_000100	CSTB	1476
NM_000101	CYBA	1535
NM_000102	CYP17A1	1586
NM_000103	CYP19A1	1588
NM_000104	CYP1B1	1545
NM_000106	CYP2D6	1565
NM_000107	DDB2	1643
NM_000108	DLD	1738
NM_000109	DMD	1756
NM_000110	DPYD	1806
NM_000111	SLC26A3	1811
NM_000112	SLC26A2	1836
NM_000113	TOR1A	1861
NM_000114	EDN3	1908
NM_000115	EDNRB	1910
NM_000116	TAZ	6901
NM_000117	EMD	2010
NM_000118	ENG	2022
NM_000119	EPB42	2038
NM_000120	EPHX1	2052
NM_000121	EPOR	2057
NM_000122	ERCC3	2071
NM_000123	ERCC5	2073
NM_000124	ERCC6	2074
NM_000125	ESR1	2099
NM_000126	ETFA	2108
NM_000127	EXT1	2131
NM_000128	F11	2160
NM_000129	F13A1	2162
NM_000130	F5	2153
NM_000131	F7	2155
NM_000132	F8	2157
NM_000133	F9	2158
NM_000134	FABP2	2169
NM_000135	FANCA	2175
NM_000136	FANCC	2176
NM_000137	FAH	2184
NM_000138	FBN1	2200
NM_000139	MS4A2	2206
NM_000140	FECH	2235
NM_000141	FGFR2	2263
NM_000142	FGFR3	2261
NM_000143	FH	2271
NM_000144	FXN	2395
NM_000145	FSHR	2492
NM_000146	FTL	2512
NM_000147	FUCA1	2517
NM_000148	FUT1	2523
NM_000149	FUT3	2525
NM_000150	FUT6	2528
NM_000151	G6PC	2538
NM_000152	GAA	2548
NM_000153	GALC	2581
NM_000154	GALK1	2584
NM_000155	GALT	118924
NM_000156	GAMT	2593
NM_000157	GBA	2629
NM_000158	GBE1	2632
NM_000159	GCDH	2639
NM_000160	GCGR	2642
NM_000161	GCH1	2643
NM_000162	GCK	2645
NM_000163	GHR	2690
NM_000164	GIPR	2696
NM_000165	GJA1	2697
NM_000166	GJB1	2705
NM_000167	GK	2710
NM_000168	GLI3	2737
NM_000169	GLA	2717
NM_000170	GLDC	2731
NM_000171	GLRA1	2741
NM_000172	GNAT1	2779
NM_000173	GP1BA	2811
NM_000174	GP9	2815
NM_000175	GPI	2821
NM_000176	NR3C1	2908
NM_000177	GSN	2934
NM_000178	GSS	2937
NM_000179	MSH6	2956
NM_000180	GUCY2D	3000
NM_000181	GUSB	2990
NM_000182	HADHA	3030
NM_000183	HADHB	3032
NM_000184	HBG1	3047
NM_000185	SERPIND1	3053
NM_000186	CFH	3075
NM_000187	HGD	3081
NM_000188	HK1	3098
NM_000189	HK2	3099
NM_000190	HMBS	3145
NM_000191	HMGCL	3155
NM_000192	TBX5	6910
NM_000193	SHH	6469
NM_000194	HPRT1	3251
NM_000195	HPS1	3257
NM_000196	HSD11B2	3291
NM_000197	HSD17B3	3293
NM_000198	HSD3B2	3284
NM_000199	SGSH	6448
NM_000200	CSNK1G3	1456
NM_000201	ICAM1	3383
NM_000202	IDS	3423
NM_000203	IDUA	3425
NM_000204	CFI	3426
NM_000206	IL2RG	3561
NM_000207	INS	3630
NM_000208	INSR	3643
NM_000209	PDX1	3651
NM_000210	ITGA6	3655
NM_000211	ITGB2	3689
NM_000212	ITGB3	3690
NM_000213	ITGB4	3691
NM_000214	JAG1	182
NM_000215	JAK3	3718
NM_000216	KAL1	3730
NM_000217	KCNA1	3736
NM_000218	KCNQ1	3784
NM_000219	KCNE1	3753
NM_000220	KCNJ1	3758
NM_000221	KHK	3795
NM_000222	KIT	3815
NM_000223	KRT12	3859
NM_000224	KRT18	3875
NM_000226	KRT9	3857
NM_000227	LAMA3	3909
NM_000228	LAMB3	3914
NM_000229	LCAT	3931
NM_000230	LEP	3952
NM_000231	SGCG	6445
NM_000232	SGCB	6443
NM_000233	LHCGR	3973
NM_000234	LIG1	3978
NM_000235	LIPA	3988
NM_000236	LIPC	3990
NM_000237	LPL	4023
NM_000238	KCNH2	3757
NM_000239	LYZ	4069
NM_000240	MAOA	4128
NM_000242	MBL2	4153
NM_000243	MEFV	4210
NM_000244	MEN1	4221
NM_000245	MET	4233
NM_000246	CIITA	4261
NM_000247	MICA	4276
NM_000248	MITF	4286
NM_000249	MLH1	4292
NM_000250	MPO	4353
NM_000251	MSH2	4436
NM_000252	MTM1	4534
NM_000253	MTTP	4547
NM_000254	MTR	4548
NM_000255	MUT	4594
NM_000256	MYBPC3	4607
NM_000257	MYH6	4624
NM_000258	MYL3	4634
NM_000259	MYO5A	4644
NM_000260	MYO7A	4647
NM_000261	MYOC	4653
NM_000262	NAGA	4668
NM_000263	NAGLU	4669
NM_000264	PTCH1	5727
NM_000265	NCF1	653361
NM_000266	NDP	4693
NM_000267	NF1	4763
NM_000268	NF2	4771
NM_000269	NME1	4830
NM_000270	NP	4860
NM_000271	NPC1	4864
NM_000272	NPHP1	4867
NM_000273	GPR143	4935
NM_000274	OAT	4942
NM_000275	OCA2	4948
NM_000276	OCRL	4952
NM_000277	PAH	5053
